page_url,link_url,link_text,link_type,status,final_url,load_ms,depth,effort,category,timestamp
https://fai.gov/,https://content.govdelivery.com/accounts/USFAI/bulletins/40b7e9a,Latest Acquisition Today Newsletter,External,200,https://content.govdelivery.com/accounts/USFAI/bulletins/40b7e9a,468,0,None,OK,2026-03-13 07:51:37 EST
https://fai.gov/,https://www.gsa.gov/website-information/accessibility-aids,Accessibility support,External,404,https://www.gsa.gov/website-information/accessibility-aids,59,0,High,Not Found,2026-03-13 07:51:37 EST
https://fai.gov/,https://www.youtube.com/c/FaiGov/featured?app=desktop,,External,200,https://www.youtube.com/c/FaiGov/featured?app=desktop,247,0,None,OK,2026-03-13 07:51:37 EST
https://fai.gov/,https://fai.gov/node/17874,The FAC-C (Professional) Exam - Your Questions Answered!,Internal,200,https://fai.gov/node/17874,491,0,None,OK,2026-03-13 07:51:37 EST
https://fai.gov/,https://www.gsa.gov/website-information/website-policies,Privacy policy,External,200,https://www.gsa.gov/website-information/website-policies,32,0,None,OK,2026-03-13 07:51:37 EST
https://fai.gov/,https://www.gsa.gov/reference/freedom-of-information-act-foia,FOIA requests,External,200,https://www.gsa.gov/reference/freedom-of-information-act-foia,134,0,None,OK,2026-03-13 07:51:37 EST
https://fai.gov/,https://www.gsa.gov/reference/reports/budget-performance,Performance reports,External,200,https://www.gsa.gov/reference/reports/budget-and-performance,168,0,None,OK,2026-03-13 07:51:37 EST
https://fai.gov/,https://services.dau.edu/psp?id=public_portal,DAU Help Desk,External,200,https://services.dau.edu/psp?id=public_portal,416,0,None,OK,2026-03-13 07:51:37 EST
https://fai.gov/,https://www.gsa.gov/reference/civil-rights-programs/notification-and-federal-employee-antidiscrimination-and-retaliation-act-of-2002,No FEAR Act data,External,200,https://www.gsa.gov/reference/civil-rights-programs/the-no-fear-act,249,0,None,OK,2026-03-13 07:51:37 EST
https://fai.gov/,https://www.usa.gov/,Visit USA.gov,External,200,https://www.usa.gov/,149,0,None,OK,2026-03-13 07:51:37 EST
https://fai.gov/,https://fai.gov/node/17466,FAC-C Credentials Overview: Workforce,Internal,200,https://fai.gov/node/17466,649,0,None,OK,2026-03-13 07:51:37 EST
https://fai.gov/,https://www.gsaig.gov/,Office of the Inspector General,External,200,https://www.gsaig.gov/,353,0,None,OK,2026-03-13 07:51:37 EST
